date	close
1-Dec-04	14
2-Dec-04	5
3-Dec-04	21
4-Dec-04	15
5-Dec-04	3
6-Dec-04	19
7-Dec-04	27
8-Dec-04	20
9-Dec-04	55
10-Dec-04	35
11-Dec-04	4
12-Dec-04	7
13-Dec-04	85
14-Dec-04	60
15-Dec-04	28
16-Dec-04	13
17-Dec-04	44
18-Dec-04	13
19-Dec-04	25
20-Dec-04	49
21-Dec-04	26
22-Dec-04	17
23-Dec-04	17
24-Dec-04	6
25-Dec-04	9
26-Dec-04	3
27-Dec-04	12
28-Dec-04	18
29-Dec-04	20
30-Dec-04	5
31-Dec-04	5
1-Jan-05	7
2-Jan-05	8
3-Jan-05	7
4-Jan-05	12
5-Jan-05	19
6-Jan-05	15
7-Jan-05	13
8-Jan-05	20
9-Jan-05	3
10-Jan-05	30
11-Jan-05	30
12-Jan-05	12
13-Jan-05	44
14-Jan-05	12
15-Jan-05	4
16-Jan-05	4
17-Jan-05	29
18-Jan-05	31
19-Jan-05	29
20-Jan-05	31
21-Jan-05	38
22-Jan-05	4
23-Jan-05	30
24-Jan-05	38
25-Jan-05	38
26-Jan-05	43
27-Jan-05	27
28-Jan-05	17
29-Jan-05	14
30-Jan-05	28
31-Jan-05	44
1-Feb-05	36
2-Feb-05	64
3-Feb-05	90
4-Feb-05	56
5-Feb-05	10
6-Feb-05	13
7-Feb-05	58
8-Feb-05	36
9-Feb-05	28
10-Feb-05	26
11-Feb-05	25
12-Feb-05	4
13-Feb-05	36
14-Feb-05	41
15-Feb-05	25
16-Feb-05	24
17-Feb-05	41
18-Feb-05	31
19-Feb-05	18
20-Feb-05	21
21-Feb-05	35
22-Feb-05	33
23-Feb-05	23
24-Feb-05	35
25-Feb-05	28
26-Feb-05	10
27-Feb-05	18
28-Feb-05	10
1-Mar-05	18
2-Mar-05	34
3-Mar-05	17
4-Mar-05	28
5-Mar-05	8
6-Mar-05	11
7-Mar-05	33
8-Mar-05	27
9-Mar-05	21
10-Mar-05	21
11-Mar-05	11
12-Mar-05	19
13-Mar-05	10
14-Mar-05	33
15-Mar-05	43
16-Mar-05	34
17-Mar-05	28
18-Mar-05	32
19-Mar-05	14
20-Mar-05	21
21-Mar-05	36
22-Mar-05	34
23-Mar-05	30
24-Mar-05	26
25-Mar-05	19
26-Mar-05	6
27-Mar-05	5
28-Mar-05	28
29-Mar-05	15
30-Mar-05	17
31-Mar-05	76
1-Apr-05	28
2-Apr-05	14
3-Apr-05	16
4-Apr-05	89
5-Apr-05	77
6-Apr-05	68
7-Apr-05	81
8-Apr-05	38
9-Apr-05	23
10-Apr-05	32
11-Apr-05	24
12-Apr-05	39
13-Apr-05	19
14-Apr-05	12
15-Apr-05	39
16-Apr-05	33
17-Apr-05	9
18-Apr-05	7
19-Apr-05	14
20-Apr-05	12
21-Apr-05	26
22-Apr-05	18
23-Apr-05	25
24-Apr-05	57
25-Apr-05	40
26-Apr-05	61
27-Apr-05	45
28-Apr-05	27
29-Apr-05	25
30-Apr-05	22
1-May-05	15
2-May-05	61
3-May-05	14
4-May-05	33
5-May-05	22
6-May-05	30
7-May-05	13
8-May-05	13
9-May-05	37
10-May-05	24
11-May-05	33
12-May-05	42
13-May-05	26
14-May-05	15
15-May-05	29
16-May-05	30
17-May-05	30
18-May-05	42
19-May-05	54
20-May-05	24
21-May-05	15
22-May-05	10
23-May-05	25
24-May-05	31
25-May-05	11
26-May-05	18
27-May-05	66
28-May-05	11
29-May-05	3
30-May-05	10
31-May-05	21
1-Jun-05	17
2-Jun-05	32
3-Jun-05	24
4-Jun-05	14
5-Jun-05	11
6-Jun-05	63
